gender (m=1 f=0),NE,MW,S,W,MD,Opioid,NonOpioid,over
0,0,0,1,0,1,0,110,0
1,0,0,0,1,1,25,0,1
1,0,0,1,0,1,198,397,1
0,0,0,0,1,1,19,0,1
1,0,0,0,1,1,57,94,1
1,0,0,1,0,1,17,0,1
1,0,0,0,1,1,38,0,1
1,1,0,0,0,1,0,443,0
1,0,0,1,0,1,73,32,1
0,0,0,0,1,1,0,54,1
0,0,0,1,0,1,0,117,0
0,0,0,1,0,1,12,792,1
1,0,0,0,1,1,70,1658,1
0,0,0,1,0,1,17,7274,1
0,0,0,1,0,0,0,86,0
1,0,0,0,0,1,0,188,0
1,1,0,0,0,1,153,1244,1
1,0,0,1,0,1,0,2745,0
1,1,0,0,0,1,0,2051,0
0,0,1,0,0,1,353,9227,1
1,0,0,1,0,1,0,494,1
0,1,0,0,0,0,0,35,1
0,1,0,0,0,0,0,14,1
1,0,0,1,0,1,0,66,0
1,1,0,0,0,1,0,13,0
0,0,0,1,0,1,0,353,0
1,0,1,0,0,1,0,14,0
1,0,0,0,1,1,0,12,0
1,0,0,0,1,1,0,61,0
0,0,0,0,1,0,0,12,1
1,0,0,0,1,1,0,11,0
0,0,0,0,1,1,0,195,0
0,1,0,0,0,0,0,81,0
1,0,1,0,0,1,15,252,1
1,0,1,0,0,1,0,13,0
0,0,0,0,1,1,0,26,0
0,0,1,0,0,1,0,16,1
1,0,0,1,0,1,182,7086,1
1,0,0,0,1,0,24,30,1
1,0,1,0,0,1,0,13,0
1,0,0,0,1,1,0,913,0
1,0,0,0,1,1,25,0,1
1,0,1,0,0,1,0,113,0
1,0,0,1,0,0,17,976,1
1,0,0,1,0,1,156,9908,1
0,1,0,0,0,1,197,8584,1
1,0,0,1,0,1,0,28,0
1,0,0,1,0,1,0,15,0
1,0,0,0,1,1,0,59,1
1,0,1,0,0,1,0,18,0
0,0,0,1,0,0,33,13,1
1,0,0,1,0,1,0,24,1
1,0,1,0,0,1,341,7547,1
1,0,1,0,0,1,27,32,1
0,0,0,1,0,0,0,116,0
1,0,0,1,0,1,0,283,1
0,0,1,0,0,1,128,3264,1
1,0,0,0,0,1,0,62,0
0,0,0,0,1,0,66,12,1
1,0,0,1,0,0,0,750,0
1,0,1,0,0,1,16,33,1
1,0,0,0,1,1,12,0,1
1,1,0,0,0,1,0,569,0
1,0,1,0,0,1,0,22,1
1,1,0,0,0,1,12,663,1
1,1,0,0,0,0,0,74,1
1,0,0,0,1,1,0,72,0
0,0,1,0,0,1,48,1280,1
1,0,0,1,0,1,20,53,1
1,0,0,1,0,1,14,21,1
1,0,0,0,1,1,11,0,1
1,0,0,0,1,1,26,11,1
1,0,0,1,0,1,0,14,0
0,0,0,0,1,1,0,12,0
0,0,1,0,0,1,191,4431,1
1,1,0,0,0,1,209,5231,1
1,1,0,0,0,0,0,175,0
1,0,1,0,0,0,21,0,1
1,1,0,0,0,1,39,1058,1
0,0,0,1,0,1,40,142,1
1,0,1,0,0,0,0,15,0
1,0,1,0,0,1,0,675,0
1,0,0,1,0,1,16,1309,1
0,0,0,0,1,1,0,76,0
1,0,0,1,0,1,0,35,0
